compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
"2,3-dichloro-4-oxobut-2-enoic acid",373.15,1,C(=O)C(=C(C(=O)O)Cl)Cl,pubchem,0,0,0,1
"(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid",460.15,1,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,pubchem,0,0,0,1
3-(3-ethylcyclopentyl)propanoic acid,374.15,1,CCC1CCC(C1)CCC(=O)O,pubchem,0,0,0,1
acetic acid,313.15,1,CC(=O)O,pubchem,0,0,0,1
hexanoic acid,377.15,1,CCCCCC(=O)O,pubchem,0,0,0,1
propanoic acid,327.15,1,CCC(=O)O,pubchem,0,0,0,1
octadecanoic acid,469.15,1,CCCCCCCCCCCCCCCCCC(=O)O,pubchem,0,0,0,1
pentanoic acid,362.15,1,CCCCC(=O)O,pubchem,0,0,0,1
Formic acid,342.15,1,O=CO,hazardous materials,0,0,0,1
prop-2-ynoic acid,331.15,1,C#CC(=O)O,pubchem,0,0,0,1
ethaneperoxoic acid,314.15,1,CC(=O)OO,pubchem,0,0,0,1
"2-Butenoic acid, (E)- (9CI)",354.75,1,C/C=C/C(=O)O,le15,0,0,0,1
2-methylpropanoic acid,329.15,1,CC(C)C(=O)O,pubchem,0,0,0,1
methanesulfonic acid,462.15,1,CS(=O)(=O)O,pubchem,0,0,0,1
"2,2-dimethylpropanoic acid",337.15,1,CC(C)(C)C(=O)O,pubchem,0,0,0,1
3-methylbutanoic acid,343.15,1,CC(C)CC(=O)O,pubchem,0,0,0,1
"Butyric acid, 2-methyl- (6CI,8CI)",346.55,1,CCC(C)C(=O)O,le15,0,0,0,1
2-ethoxyacetic acid,371.15,1,CCOCC(=O)O,pubchem,0,0,0,1
(E)-hex-2-enoic acid,388.55,1,CCC/C=C/C(=O)O,le15,0,0,0,1
"Butanoic acid, 2-ethyl-",360.15,1,CCC(CC)C(=O)O,le15,0,0,0,1
