compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
Trichlorononylsilane,387.15,1,ClC(CCCCCCCC[SiH3])(Cl)Cl,chen14,1,1,0,0
Dichloroethylsilane,263.75,1,ClC(C[SiH3])Cl,chen14,1,1,0,0
Trichloro(dichlorophenyl)silane,419.15,1,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,chen14,1,1,0,0
Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,chen14,1,1,0,0
Tris(trimethylsiloxy)silane,323.15,1,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,chen14,1,1,0,0
Hexadecyltrichlorosilane,427.15,1,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Dimethylvinylchlorosilane,268.15,1,CC(=C[SiH2]Cl)C,chen14,1,1,0,0
"1,3-Dichlorotetramethyldisiloxane",288.15,1,Cl[Si](O[Si](Cl)(C)C)(C)C,chen14,1,1,0,0
"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](O[SiH](C)C)C,chen14,1,1,0,0
Tetramethyldisilazane,284.15,1,CN([Si](C)(C)C)[SiH3],chen14,1,1,0,0
Allyl Dimethylchlorosilane,278.15,1,C(C=C)[Si](Cl)(C)C,chen14,1,1,0,0
sec-Amyltrichlorosilane,303.15,1,C(C)(CCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Butylmethyldichlorosilane,303.15,1,C(CCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Bis(dimethylamino)methylsilane,270.15,1,CN(C)C(N(C)C)[SiH3],chen14,1,1,0,0
Phenyltrichlorosilane,364.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
Phenyl trifluorosilane,268.15,1,C1(=CC=CC=C1)[Si](F)(F)F,chen14,1,1,0,0
Dimethyldiacetoxysilane,310.15,1,C[Si](OC(C)=O)(OC(C)=O)C,chen14,1,1,0,0
1-Trimethylsilylpropyne,270.15,1,C[Si](C#CC)(C)C,chen14,1,1,0,0
Vinyldimethylethoxysilane,277.15,1,C(=C)[Si](OCC)(C)C,chen14,1,1,0,0
Allyloxytrimethylsilane,273.15,1,C(C=C)O[Si](C)(C)C,chen14,1,1,0,0
Allyltrimethoxysilane,319.15,1,C(C=C)[Si](OC)(OC)OC,chen14,1,1,0,0
3-Chloropropyltrimethoxysilane,348.15,1,ClCCC[Si](OC)(OC)OC,chen14,1,1,0,0
n-Propyltrimethoxysilane,298.15,1,C(CC)[Si](OC)(OC)OC,chen14,1,1,0,0
Hexamethyldisiloxane,270.15,1,C[Si](O[Si](C)(C)C)(C)C,chen14,1,1,0,0
Hexamethyldisilane,272.15,1,C[Si]([Si](C)(C)C)(C)C,chen14,1,1,0,0
Vinyldiethylmethylsilane,288.15,1,C(=C)[Si](C)(CC)CC,chen14,1,1,0,0
Isobutyltrimethoxysilane,315.15,1,C(C(C)C)[Si](OC)(OC)OC,chen14,1,1,0,0
Phenyldimethylchlorosilane,334.15,1,C1(=CC=CC=C1)[Si](Cl)(C)C,chen14,1,1,0,0
"(N,N-Dimethylamino)triethylsilane",299.15,1,CN(C)[Si](CC)(CC)CC,chen14,1,1,0,0
Vinyltriacetoxysilane,361.15,1,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14,1,1,0,0
Ethyltriacetoxysilane,377.15,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14,1,1,0,0
3-(Trimethylsilyl)cyclopentene,299.15,1,C[Si](C1C=CCC1)(C)C,chen14,1,1,0,0
n-Octylsilane,309.15,1,C(CCCCCCC)[SiH3],chen14,1,1,0,0
Methyl phenyldimethoxysilane,349.15,1,C[Si](OC)(OC)C1=CC=CC=C1,chen14,1,1,0,0
2-Cyanoethyltriethoxysilane,359.15,1,C(#N)CC[Si](OCC)(OCC)OCC,chen14,1,1,0,0
3-Glycidoxypropyltrimethoxysilane,383.15,1,C(C1CO1)OCCC[Si](OC)(OC)OC,chen14,1,1,0,0
Di-t-butylmethylchlorosilane,342.15,1,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,chen14,1,1,0,0
Tri-n-propylchlorosilane,349.15,1,C(CC)[Si](Cl)(CCC)CCC,chen14,1,1,0,0
(Diisopropylamino)trimethylsilane,301.15,1,C(C)(C)N(C(C)C)[Si](C)(C)C,chen14,1,1,0,0
1-Chlorononamethyltetrasiloxane,347.15,1,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14,1,1,0,0
Tristrimethylsiloxymethylsilane,336.15,1,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,chen14,1,1,0,0
Diphenylmethylsilane,393.15,1,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],chen14,1,1,0,0
Trimethyl[(1-methylethenyl)oxy]silane,272.15,1,C[Si](OC(=C)C)(C)C,chen14,1,1,0,0
"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1,ClC(Cl)[SiH2]CCC(F)(F)F,chen14,1,1,0,0
[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1,ClCOCC[Si](C)(C)C,chen14,1,1,0,0
Iodotrimethylsilane,288.15,1,I[Si](C)(C)C,chen14,1,1,0,0
Triphenylsilane,416.35,1,C1(=CC=CC=C1)[SiH](C1=CC=CC=C1)C1=CC=CC=C1,chen14,1,1,0,0
[3-(mercapto)propyl]triethoxysilane,360.93,1,SCCC[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Gamma-aminopropylethoxysilane,369.26,1,NCCC[SiH2]OCC,chen14,1,1,0,0
Dichlorodiethylsilane,297.15,1,Cl[Si](CC)(CC)Cl,chen14,1,1,0,0
TRIS(TRIMETHYLSILOXY)BORON,315.15,1,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,gelest_metal-organics,1,1,0,0
Methyldichlorosilane,241.0,1,C[SiH](Cl)Cl,pan12,1,1,0,0
"1,1,1-Trifluoropropyltrichlorosilane",288.0,1,FC(C(C)[Si](Cl)(Cl)Cl)(F)F,pan12,1,1,0,0
Methylvinyldichlorosilane,272.0,1,CC=C[SiH](Cl)Cl,pan12,1,1,0,0
3-Chloropropylmethyldichlorosilane,359.0,1,ClCCC[Si](Cl)(Cl)C,pan12,1,1,0,0
tetramethylsilane,246.15,1,C[Si](C)(C)C,pubchem,1,1,0,0
"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",328.15,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,pubchem,1,1,0,0
